Brewery,City,Name,Abv,Ibu,Srm,Tags
Brasserie-Brouwerij Cantillon,Anderlecht,Bruocsella 1900 Grand Cru,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brasserie-Brouwerij Cantillon,Anderlecht,Classic Gueuze,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brasserie-Brouwerij Cantillon,Anderlecht,Cuv̩e des Champions 2003-2004,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brasserie-Brouwerij Cantillon,Anderlecht,Gueuze Bio / Organic Gueuze,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brasserie-Brouwerij Cantillon,Anderlecht,Iris,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brasserie-Brouwerij Cantillon,Anderlecht,Iris 1996,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brasserie-Brouwerij Cantillon,Anderlecht,Kriek-Lambic,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brasserie-Brouwerij Cantillon,Anderlecht,Lambic 2002,?,?,?,?
Brasserie-Brouwerij Cantillon,Anderlecht,Ros̩ de Gambrinus,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brasserie-Brouwerij Cantillon,Anderlecht,Vigneronne,5%,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Brewery Belle-Vue,Molenbeek,Gueuze,?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
