Brewery,City,Name,Abv,Ibu,Srm,Tags
Brasserie de Vervifontaine,Jalhay-Vervifontaine,Bi̬re du Lion,?,?,?,?
Brasserie de l'Abbaye Val-Dieu,Aubel,Blonde,6%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brasserie de l'Abbaye Val-Dieu,Aubel,Brune / Brown,8%,?,?,?
Brasserie de l'Abbaye Val-Dieu,Aubel,Grand Cru,10.5%,?,?,?
Brasserie de l'Abbaye Val-Dieu,Aubel,Triple,9%,?,?,?
Brasserie de l'Abbaye Val-Dieu,Aubel,Winter,10.5%,?,?,?
Brennerei-Distillerie Radermacher,Raeren,Rader Ambr̩e,?,?,?,?
Brennerei-Distillerie Radermacher,Raeren,Rader Blonde,6.5%,?,?,?
